['100021369740'],['100021369740'],['100021369740']
['100014794825'],['100014794825'],['100014794825']
['100021965302'],['100021965302'],['100021965302']
['100012622295'],['100012622295'],['100012622295']
['100019736872'],['100019736872'],['100019736872']
['100021965284'],['100021965284'],['100021965284']
['100025037502'],['100025037502'],['100025037502']
['100018276690'],['100018276690'],['100018276690']
['100011658641'],['100011658641'],['100011658641']
['100026497910'],['100026497910'],['100026497910']
['100019736906'],['100019736906'],['100019736906']
['100011190721'],['100011190721'],['100011190721']
['100021167332'],['100021167332'],['100021167332']
['100011431721'],['100011431721'],['100011431721']
['100020923614'],['100020923614'],['100020923614']
['100021965280'],['100021965280'],['100021965280']
['100023344932'],['100023344932'],['100023344932']
['10030493404006'],['10030493404006'],['10030493404006']
['100021647694'],['100021647694'],['100021647694']
['100011190725'],['100011190725'],['100011190725']
['10038985247360'],['10038985247360'],['10038985247360']
['100020923600'],['100020923600'],['100020923600']
['100023844090'],['100023844090'],['100023844090']
['10030682225921'],['10030682225921'],['10030682225921']
['10023365907329'],['10023365907329'],['10023365907329']
['100023819996'],['100023819996'],['100023819996']
['100021100372'],['100021100372'],['100021100372']
['100021647670'],['100021647670'],['100021647670']
['100023584910'],['100023584910'],['100023584910']
['100014373843'],['100014373843'],['100014373843']
['47792576228'],['47792576228'],['47792576228']
['100014373843'],['100014373843'],['100014373843']
['30646311749'],['30646311749'],['30646311749']
['67501639649'],['67501639649'],['67501639649']
['100021592020'],['100021592020'],['100021592020']
['100019736886'],['100019736886'],['100019736886']
['10033735336685'],['10033735336685'],['10033735336685']
['100021647674'],['100021647674'],['100021647674']
['100023844060'],['100023844060'],['100023844060']
['10031072312446'],['10031072312446'],['10031072312446']
['100014669615'],['100014669615'],['100014669615']
['100012141133'],['100012141133'],['100012141133']
['10032218944060'],['10032218944060'],['10032218944060']
['100021771660'],['100021771660'],['100021771660']
['10028599484534'],['10028599484534'],['10028599484534']
['100014488372'],['100014488372'],['100014488372']
['100021567676'],['100021567676'],['100021567676']
['69214593080'],['69214593080'],['69214593080']
['67047751703'],['67047751703'],['67047751703']
['100021548446'],['100021548446'],['100021548446']
['10030497357466'],['10030497357466'],['10030497357466']
['30645475359'],['30645475359'],['30645475359']
['100025932106'],['100025932106'],['100025932106']
['100015479747'],['100015479747'],['100015479747']
['10032963505341'],['10032963505341'],['10032963505341']
['100023347542'],['100023347542'],['100023347542']
['10030543634617'],['10030543634617'],['10030543634617']
['100021647678'],['100021647678'],['100021647678']
['100012544831'],['100012544831'],['100012544831']
['100012142851'],['100012142851'],['100012142851']
['100021369740'],['100021369740'],['100021369740']
['100014794825'],['100014794825'],['100014794825']
['100021965302'],['100021965302'],['100021965302']
['100012622295'],['100012622295'],['100012622295']
['100019736872'],['100019736872'],['100019736872']
['100021965284'],['100021965284'],['100021965284']
['100025037502'],['100025037502'],['100025037502']
['100018276690'],['100018276690'],['100018276690']
['100011658641'],['100011658641'],['100011658641']
['100026497910'],['100026497910'],['100026497910']
['100019736906'],['100019736906'],['100019736906']
['100011190721'],['100011190721'],['100011190721']
['100021167332'],['100021167332'],['100021167332']
['100011431721'],['100011431721'],['100011431721']
['100020923614'],['100020923614'],['100020923614']
['100021965280'],['100021965280'],['100021965280']
['100023344932'],['100023344932'],['100023344932']
['10030493404006'],['10030493404006'],['10030493404006']
['10023365907329'],['10023365907329'],['10023365907329']
['100021647694'],['100021647694'],['100021647694']
['100011190725'],['100011190725'],['100011190725']
['10038985247360'],['10038985247360'],['10038985247360']
['100020923600'],['100020923600'],['100020923600']
['100023844090'],['100023844090'],['100023844090']
['10030682225921'],['10030682225921'],['10030682225921']
['100023819996'],['100023819996'],['100023819996']
['100021100372'],['100021100372'],['100021100372']
['100021647670'],['100021647670'],['100021647670']
['100023584910'],['100023584910'],['100023584910']
['100014373843'],['100014373843'],['100014373843']
47792576228,47792576228,47792576228
100014373843,100014373843,100014373843
30646311749,30646311749,30646311749
67501639649,67501639649,67501639649
100021592020,100021592020,100021592020
100019736886,100019736886,100019736886
10032218944060,10032218944060,10032218944060
100021647674,100021647674,100021647674
100023844060,100023844060,100023844060
10031072312446,10031072312446,10031072312446
100014669615,100014669615,100014669615
100012141133,100012141133,100012141133
67047751703,67047751703,67047751703
100021771660,100021771660,100021771660
10028599484534,10028599484534,10028599484534
100014488372,100014488372,100014488372
100021567676,100021567676,100021567676
69214593080,69214593080,69214593080
10032963505341,10032963505341,10032963505341
100021548446,100021548446,100021548446
10030497357466,10030497357466,10030497357466
30645475359,30645475359,30645475359
100025932106,100025932106,100025932106
100015479747,100015479747,100015479747
10039108695214,10039108695214,10039108695214
100023347542,100023347542,100023347542
10030543634617,10030543634617,10030543634617
100021647678,100021647678,100021647678
100012544831,100012544831,100012544831
100012142851,100012142851,100012142851
['100021369740'],['100021369740'],['100021369740']
['100014794825'],['100014794825'],['100014794825']
['100021965302'],['100021965302'],['100021965302']
['100012622295'],['100012622295'],['100012622295']
['100019736872'],['100019736872'],['100019736872']
['100021965284'],['100021965284'],['100021965284']
['100025037502'],['100025037502'],['100025037502']
['100018276690'],['100018276690'],['100018276690']
['100011658641'],['100011658641'],['100011658641']
['100026497910'],['100026497910'],['100026497910']
['100019736906'],['100019736906'],['100019736906']
['100011190721'],['100011190721'],['100011190721']
['100021167332'],['100021167332'],['100021167332']
['100011431721'],['100011431721'],['100011431721']
['100020923614'],['100020923614'],['100020923614']
['100021965280'],['100021965280'],['100021965280']
['100023344932'],['100023344932'],['100023344932']
['10030493404006'],['10030493404006'],['10030493404006']
['10023365907329'],['10023365907329'],['10023365907329']
['100021647694'],['100021647694'],['100021647694']
['100011190725'],['100011190725'],['100011190725']
['10038985247360'],['10038985247360'],['10038985247360']
['100020923600'],['100020923600'],['100020923600']
['100023844090'],['100023844090'],['100023844090']
['10030682225921'],['10030682225921'],['10030682225921']
['100023819996'],['100023819996'],['100023819996']
['100021100372'],['100021100372'],['100021100372']
['100021647670'],['100021647670'],['100021647670']
['100023584910'],['100023584910'],['100023584910']
['100014373843'],['100014373843'],['100014373843']
47792576228,47792576228,47792576228
100014373843,100014373843,100014373843
30646311749,30646311749,30646311749
67501639649,67501639649,67501639649
100021592020,100021592020,100021592020
100019736886,100019736886,100019736886
10032218944060,10032218944060,10032218944060
100023844060,100023844060,100023844060
100021647674,100021647674,100021647674
10031072312446,10031072312446,10031072312446
100014669615,100014669615,100014669615
100012141133,100012141133,100012141133
67047751703,67047751703,67047751703
100021771660,100021771660,100021771660
10028599484534,10028599484534,10028599484534
100014488372,100014488372,100014488372
100021567676,100021567676,100021567676
69214593080,69214593080,69214593080
10032963505341,10032963505341,10032963505341
100021548446,100021548446,100021548446
10030497357466,10030497357466,10030497357466
30645475359,30645475359,30645475359
100025932106,100025932106,100025932106
100015479747,100015479747,100015479747
10037601790498,10037601790498,10037601790498
100023347542,100023347542,100023347542
10030543634617,10030543634617,10030543634617
100021647678,100021647678,100021647678
100012544831,100012544831,100012544831
100012142851,100012142851,100012142851
1,0,0,0,2,1,3,6,9,7,4,0
1,0,0,0,1,4,7,9,4,8,2,5
1,0,0,0,2,1,9,6,5,3,0,2
1,0,0,0,1,2,6,2,2,2,9,5
1,0,0,0,1,9,7,3,6,8,7,2
1,0,0,0,2,1,9,6,5,2,8,4
1,0,0,0,2,1,1,6,7,3,3,2
1,0,0,0,1,8,2,7,6,6,9,0
1,0,0,0,1,1,6,5,8,6,4,1
1,0,0,0,2,6,4,9,7,9,1,0
1,0,0,0,1,9,7,3,6,9,0,6
1,0,0,0,1,1,1,9,0,7,2,1
1,0,0,0,2,0,9,2,3,6,1,4
1,0,0,0,1,1,4,3,1,7,2,1
1,0,0,0,2,1,9,6,5,2,8,0
1,0,0,0,2,3,3,4,4,9,3,2
1,0,0,3,0,4,9,3,4,0,4,0,0,6
1,0,0,0,2,1,6,4,7,6,9,4
1,0,0,2,3,3,6,5,9,0,7,3,2,9
1,0,0,0,1,1,1,9,0,7,2,5
1,0,0,3,8,9,8,5,2,4,7,3,6,0
1,0,0,0,2,0,9,2,3,6,0,0
1,0,0,0,2,3,8,4,4,0,9,0
1,0,0,3,0,6,8,2,2,2,5,9,2,1
4,7,7,9,2,5,7,6,2,2,8
1,0,0,0,2,3,8,1,9,9,9,6
1,0,0,0,2,5,0,3,7,5,0,2
1,0,0,0,2,1,1,0,0,3,7,2
1,0,0,0,2,1,6,4,7,6,7,0
1,0,0,0,2,3,5,8,4,9,1,0
4,7,7,9,2,5,7,6,2,2,8
1,0,0,0,1,4,3,7,3,8,4,3
3,0,6,4,6,3,1,1,7,4,9
6,7,5,0,1,6,3,9,6,4,9
1,0,0,0,2,1,5,9,2,0,2,0
1,0,0,0,1,9,7,3,6,8,8,6
1,0,0,3,2,2,1,8,9,4,4,0,6,0
1,0,0,0,2,3,8,4,4,0,6,0
1,0,0,0,2,1,6,4,7,6,7,4
1,0,0,3,1,0,7,2,3,1,2,4,4,6
1,0,0,0,1,4,6,6,9,6,1,5
1,0,0,0,1,2,1,4,1,1,3,3
6,7,0,4,7,7,5,1,7,0,3
1,0,0,0,2,1,7,7,1,6,6,0
1,0,0,2,8,5,9,9,4,8,4,5,3,4
1,0,0,0,1,4,4,8,8,3,7,2
1,0,0,0,2,1,5,6,7,6,7,6
6,9,2,1,4,5,9,3,0,8,0
1,0,0,3,2,9,6,3,5,0,5,3,4,1
1,0,0,0,2,1,5,4,8,4,4,6
1,0,0,3,0,4,9,7,3,5,7,4,6,6
3,0,6,4,5,4,7,5,3,5,9
1,0,0,0,2,5,9,3,2,1,0,6
1,0,0,0,1,5,4,7,9,7,4,7
1,0,0,3,9,1,0,8,6,9,5,2,1,4
1,0,0,0,2,3,3,4,7,5,4,2
1,0,0,3,0,5,4,3,6,3,4,6,1,7
1,0,0,0,2,1,6,4,7,6,7,8
1,0,0,0,1,2,5,4,4,8,3,1
1,0,0,0,1,2,1,4,2,8,5,1
